"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"25-Oct-2024","31-Oct-2024","CE","1,750.00","17.80","19.00","8.40","12.00","11.90","12.00","1,54,27,500","27,18,52,47,017.50","18,71,22,017.50","33,64,900","1,02,300"
"24-Oct-2024","31-Oct-2024","CE","1,750.00","12.15","27.85","12.15","15.80","16.50","15.80","1,72,55,150","30,54,25,58,640.00","34,60,46,140.00","32,62,600","-5,39,550"
"23-Oct-2024","31-Oct-2024","CE","1,750.00","8.00","16.50","5.80","11.15","11.70","11.15","1,23,57,950","21,78,58,17,817.50","15,94,05,317.50","38,02,150","-6,16,000"
"22-Oct-2024","31-Oct-2024","CE","1,750.00","9.50","14.95","6.85","8.10","8.25","8.10","1,22,89,200","21,62,74,24,005.00","12,13,24,005.00","44,18,150","-13,750"
"21-Oct-2024","31-Oct-2024","CE","1,750.00","9.55","20.80","8.60","9.95","9.50","9.95","3,05,39,300","53,89,51,30,217.50","45,13,55,217.50","44,31,900","-13,750"
"18-Oct-2024","31-Oct-2024","CE","1,750.00","4.00","8.60","3.25","7.30","7.55","7.30","62,15,550","10,91,63,52,507.50","3,91,40,007.50","44,45,650","3,40,450"
"17-Oct-2024","31-Oct-2024","CE","1,750.00","7.35","7.90","4.10","4.85","4.80","4.85","38,12,050","6,69,08,64,152.50","1,97,76,652.50","41,05,200","-1,27,600"
"16-Oct-2024","31-Oct-2024","CE","1,750.00","6.55","10.70","5.85","7.65","8.05","7.65","51,69,450","9,09,17,30,780.00","4,51,93,280.00","42,32,800","4,96,100"
"15-Oct-2024","31-Oct-2024","CE","1,750.00","8.50","9.20","6.05","6.75","6.90","6.75","21,81,300","3,83,27,03,352.50","1,54,28,352.50","37,36,700","-22,550"
"14-Oct-2024","31-Oct-2024","CE","1,750.00","4.30","8.00","4.30","7.60","7.85","7.60","29,74,400","5,22,58,51,207.50","2,06,51,207.50","37,59,250","-58,850"
"11-Oct-2024","31-Oct-2024","CE","1,750.00","6.10","6.30","4.00","4.30","4.30","4.30","11,95,700","2,09,79,63,862.50","54,88,862.50","38,18,100","-67,100"
"10-Oct-2024","31-Oct-2024","CE","1,750.00","5.00","6.95","4.20","5.95","6.05","5.95","22,71,500","3,98,75,09,515.00","1,23,84,515.00","38,85,200","91,850"
"09-Oct-2024","31-Oct-2024","CE","1,750.00","6.25","6.85","4.50","4.70","4.80","4.70","22,14,300","3,88,73,72,720.00","1,23,47,720.00","37,93,350","46,200"
"08-Oct-2024","31-Oct-2024","CE","1,750.00","5.45","7.05","5.00","6.35","6.45","6.35","19,73,950","3,46,64,54,860.00","1,20,42,360.00","37,47,150","-1,25,950"
"07-Oct-2024","31-Oct-2024","CE","1,750.00","8.10","9.60","4.60","5.15","5.40","5.15","55,20,350","9,69,57,21,557.50","3,51,09,057.50","38,73,100","-71,500"
"04-Oct-2024","31-Oct-2024","CE","1,750.00","10.90","14.45","7.70","8.00","8.10","8.00","72,64,950","12,79,39,79,990.00","8,03,17,490.00","39,44,600","2,63,450"
"03-Oct-2024","31-Oct-2024","CE","1,750.00","23.45","28.00","11.40","13.70","13.30","13.70","77,50,600","13,70,13,21,590.00","13,77,71,590.00","36,81,150","14,99,850"
"01-Oct-2024","31-Oct-2024","CE","1,750.00","30.00","39.50","24.75","27.65","27.95","27.65","47,11,850","8,38,79,22,895.00","14,21,85,395.00","21,81,300","4,58,150"
"30-Sep-2024","31-Oct-2024","CE","1,750.00","42.30","46.45","32.60","36.65","37.05","36.65","40,84,850","7,30,50,21,845.00","15,65,34,345.00","17,23,150","4,32,850"
"27-Sep-2024","31-Oct-2024","CE","1,750.00","60.80","63.50","47.90","49.50","49.40","49.50","15,48,800","2,79,48,36,577.50","8,44,36,577.50","12,90,300","1,35,850"
